,original,translation
5298,"There’s a greater level of objectivity, which I like.","Es war eine größere Ebene der Objektivität, die ich mag."
3321,"If a rodent dies inside the plastic, the subsequent botulism toxins released can contaminate the entire bale.","Wenn ein Nagetier im Kunststoff stirbt, können die Botulismusgifte, die freigesetzt werden, den gesamten Ballen kontaminieren."
663,"However, the Liberal Democrats oppose the European federalism espoused by their counterparts.","Die Liberaldemokraten sind jedoch gegen den europäischen Föderalismus, der von ihren Amtskollegen befürwortet wird."
3366,"The Humane Society of the United States writes that the procedure can cause redness, ulceration, hemorrhaging, cloudiness, or even blindness.","Die Humane Society of the United States schreibt, dass das Verfahren Rötung, Ulzeration, Hämorrhagen, Trübungen oder sogar Blindheit verursachen kann."
2015,He matched breaths with harmony and cherished the abstruse.,Er passte Atemzüge mit Harmonie und liebte die abstruse.
3789,"On 31 January, Galloway defeated MVP by disqualification, after the Beat Down Clan interfered in the match.","Am 31. Januar besiegte Galloway MVP durch Disqualifikation, nachdem sich der Beat Down Clan in das Spiel einmischte."
2383,"However, The Terminator eventually earned over $78 million worldwide.","Jedoch, The Terminator schließlich verdient über 78 Millionen US-Dollar weltweit."
5991,"Bill Roy campaigned intensely around Kansas City linking Dole to Nixon, Watergate, and Ford's pardon of Nixon.","Bill Roy kämpfte intensiv um Kansas City und verband Dole mit Nixon, Watergate und Fords Begnadigung Nixons."
6644,classes showered in restrooms adjacent to the cafeteria.,Klassen duschen in Toiletten neben der Cafeteria.
4388,"In November 1928, Nu Beta absorbed the Theta Beta Rho Fraternity.",Im November 1928 absorbierte Nu Beta die Theta Beta Rho Fraternität.
998,"Finally, his dear friend and defender, the Dowager Electress Sophia, died in 1714.","Schließlich starb 1714 sein lieber Freund und Verteidiger, die Dowager-Kurfürstin Sophia."
6627,"He placed his infantry between the trenches and the cavalry, which far outnumbered the Roman cavalry, on the flanks, outside the trenches.","Er setzte seine Infanterie zwischen den Gräben und der Kavallerie, die weit über die römische Kavallerie hinausging, auf die Flanken, außerhalb der Gräben."
5414,"Conspiracy theories, disinformation, and harassment","Verschwörungstheorien, Desinformation und Belästigung"
4518,Deposits were associated with pillow basalts alterered to greenstone.,Ablagerungen wurden mit Kopfkissen Basalt zu Greenstone verändert assoziiert.
4488,"It kept periphyton from forming marl, one of two soils in the Everglades.","Es hielt Periphyton von der Bildung von Marl, einer von zwei Böden in den Everglades."
5828,"Stirling Moss regarded Mouton as ""one of the best"", and Niki Lauda described her as a ""superwoman"".","Stirling Moss betrachtete Mouton als ""eine der Besten"", und Niki Lauda beschrieb sie als ""Superfrau""."
4396,In 1925 Dr François Fougerat de David de Lastours wrote a thesis on heliotherapy.,1925 schrieb Dr. François Fougerat de David de Lastours eine Diplomarbeit über Heliotherapie.
958,"Kevin Pietersen managed to scamper a single, and after six overs, England were 50 for 2.","Kevin Pietersen schaffte es, eine Single zu scampen, und nach sechs Overs waren England 50 für 2."
2467,"The New York chapter of the ACLU defended Billie Boggs, a mentally ill woman who exposed herself and defecated and urinated in public.","Das New Yorker Kapitel der ACLU verteidigte Billie Boggs, eine psychisch kranke Frau, die sich selbst enthüllte und in der Öffentlichkeit ausweidete und urinierte."
5857,The Hornet and the later Gremlin shared platforms.,Die Hornet und die späteren Gremlin teilten Plattformen.
4809,"After first attracting yeomen farmers and common planters, in the 19th century, the Baptists began to attract major planters among the elite.","Nachdem die Baptisten im 19. Jahrhundert Yeomen-Bauern und gemeinsame Pflanzer angezogen hatten, begannen sie große Pflanzer unter der Elite anzuziehen."
6719,"The 5th Brigade consisted of the 21st, 22nd and 23rd Battalions.","Die 5. Brigade bestand aus dem 21., 22. und 23. Bataillon."
1452,"Muslims, Sikhs, Buddhists, and Hindus live in Alberta.","Muslime, Sikhs, Buddhisten und Hindus leben in Alberta."
5708,"""Major League Baseball Team Histories"" by Major League Baseball, 2015.","""Major League Baseball Team Histories"" von Major League Baseball, 2015."
1665,Essays in Honor of the Bicentenary of Mary Shelley's Birth.,Aufsätze zu Ehren des 200. Geburtstages Mary Shelleys.
3425,This extended his patronage throughout Hispania and into southern Gaul.,Dies erweiterte seine Schirmherrschaft in ganz Hispania und in Süd-Gallien.
5834,"Gidget, 15, American chihuahua, Taco Bell mascot, stroke.","Gidget, 15, American chihuahua, Taco Bell Maskottchen, Schlaganfall."
6425,They erected a fortress in Colombo and garrisoned it.,Sie errichteten in Colombo eine Festung und bewachten sie.
540,"Hickman, Bert, ""Tesla Coil Information Center"" Cooper, John.","Hickman, Bert, ""Tesla Coil Information Center"" Cooper, John."
6799,"She explained that Louise ""adores and idolises Peggy"", which resembles the actress' relationship with Windsor.","Sie erklärte, Louise ""verehrt und vergöttert Peggy"", was der Beziehung der Schauspielerin zu Windsor ähnelt."
3093,"Đông enlisted the cooperation of an armored regiment, a marine unit and three paratrooper battalions.","Đông übernahm die Zusammenarbeit eines gepanzerten Regiments, einer Marine-Einheit und drei Fallschirmjäger-Bataillone."
4687,Razor continued to feud with Michaels and his bodyguard Diesel.,Razor feuerte weiter mit Michaels und seinem Leibwächter Diesel.
2931,Violent confrontation flared up again in Beirut in 1988 between Amal and Hezbollah.,1988 kam es in Beirut erneut zu gewalttätigen Auseinandersetzungen zwischen Amal und Hisbollah.
6192,"They can hear the panicked calls of Fluff and Tumble, but not Nibble.","Sie können die panischen Rufe von Fluff und Tumble hören, aber nicht Nibbeln."
6334,"Whigs presented Harrison as the antithesis of the president, whom they derided as ineffective, corrupt, and effete.","Whigs präsentierte Harrison als Antithese des Präsidenten, den sie als ineffektiv, korrupt und ausgelöscht verspotteten."
1497,"A headline in the New York World newspaper shrieked ""Tyranny!","Eine Schlagzeile in der New York World Zeitung schrie ""Tyranny!"
3149,"Benigno G. Tabora, 92, American survivor of Bataan Death March.","Benigno G. Tabora, 92, amerikanischer Überlebender von Bataan Death March."
2976,Negotiations between the envoys of Gabriel and Matthias outraged the Ottomans.,Die Verhandlungen zwischen den Gesandten Gabriel und Matthias empörten die Osmanen.
4762,"Many drugs, including oral contraceptives, some antibiotics, antidepressants, and antifungal agents, inhibit cytochrome enzymes in the liver.","Viele Medikamente, darunter orale Verhütungsmittel, einige Antibiotika, Antidepressiva und Antimykotika, hemmen Cytochrom-Enzyme in der Leber."
4927,"For Carmen's ire, Ramiro nominates his several years younger fiancée Ginette as their newest admin.",Für Carmen 's Zorn nominiert Ramiro seine mehrjährige jüngere Verlobte Ginette als ihren neuesten Admin.
2671,"In contrast, the klystron acts purely as an amplifier.",Im Gegensatz dazu wirkt das Klystron rein als Verstärker.
3358,2 seed Kevin Anderson in the quarterfinals before losing to no.,2 Samen Kevin Anderson im Viertelfinale vor dem Verlust auf Nein.
4354,"In 1984, the Colts relocated to Indianapolis, leading to an eventual rivalry with the Baltimore Ravens.","1984 siedelten die Colts nach Indianapolis um, was zu einer eventuellen Rivalität mit den Baltimore Ravens führte."
2572,Bradman regarded the innings as the greatest batting he ever saw.,"Bradman betrachtete die Innings als den größten Schlag, den er je gesehen hatte."
4931,"The arrival of the Mitchell brothers in 1990 heralded a new era for EastEnders, but also for Sharon.","Die Ankunft der Mitchell Brüder 1990 läutete eine neue Ära für EastEnders, aber auch für Sharon ein."
961,"Belfast elected 7 Sinn Féin, 5 DUP, 2 SDLP, 3 Alliance Party, 1 UUP, 1 Green and 1 PBPA MLAs.","Belfast wählte 7 Sinn Féin, 5 DUP, 2 SDLP, 3 Alliance Party, 1 UUP, 1 Green und 1 PBPA MLAs."
5469,"The satrapies, however, had other intentions, and quickly capitulated to Alexander.",Die satrapies jedoch hatten andere Absichten und kapitulierten schnell zu Alexander.
5536,"On 10/11 March, 240 bombers dropped 193 tons of high explosives and 46,000 incendiaries.",Am 10. / 11. März warfen 240 Bomber 193 Tonnen Sprengstoff und 46.000 Brandschutzmittel ab.
4,"Once North Pacific salmon die off after spawning, usually local bald eagles eat salmon carcasses almost exclusively.","Sobald der nordpazifische Lachs nach dem Laichen abstirbt, fressen in der Regel lokale Glatzadler fast ausschließlich Lachskörper."
636,DeMarco Murray scored four touchdowns and averaged over seven yards on his 13 rushing attempts.,DeMarco Murray erzielte vier Touchdowns und durchschnittlich über sieben Meter auf seine 13 rauschenden Versuche.
3581,"These include nicotine sulfate, arsenic, and strychnine.","Dazu gehören Nikotinsulfat, Arsen und Strychnin."
3583,"Falling for his trick, Haja snatches the Strike Shot from Terry and he shoots.","Falling für seinen Trick, schnappt Haja den Strike Shot von Terry und er schießt."
6583,Otis B. Duncan William English Walling Wilmington Insurrection of 1898,Otis B. Duncan William English Walling Wilmington Aufstand von 1898
5537,There may be only one stringer or the stringers otherwise minimized.,Es kann nur eine Stringer oder die Stringer sonst minimiert werden.
709,Airbags can deploy due to the vehicle's undercarriage striking a low object protruding above the roadway due to the resulting deceleration.,"Airbags können einsetzen, weil das Fahrzeug Unterwagen auffällig ein niedriges Objekt ragen über der Fahrbahn aufgrund der daraus resultierenden Verzögerung."
2942,"However, in western China the mosques resemble those of the middle east, with tall, slender minarets, curvy arches and dome shaped roofs.","Im Westen Chinas ähneln die Moscheen denen des Mittleren Ostens, mit hohen, schlanken Minaretten, kurvigen Bögen und kuppelförmigen Dächern."
902,"Together with the hemorrhoidal vascular cushions, the IAS maintains continence of flatus and liquid during rest.",Zusammen mit den blutrhoidalen Gefäßkissen hält das IAS während der Ruhezeit die Kontinenz von Flatus und Flüssigkeit aufrecht.
5457,"The mirrored Esquire was traded for a black Telecaster Custom, in 1968.",Der gespiegelte Esquire wurde 1968 gegen einen schwarzen Telecaster Custom gehandelt.
3454,"Protesters shouted slogans such as ""Kill Dan White!""","Protestanten riefen Slogans wie ""Kill Dan White!"""
5891,";Recitation Audio on The Chhandogya Upanishad, Swami Krishnananda, Divine Life Society","; Rezitation Audio on The Chhandogya Upanishad, Swami Krishnananda, Divine Life Society"
4864,Nelthrope and Internal Affairs investigator Gary A.,Nelthrope und der Ermittler für innere Angelegenheiten Gary A.
1283,"Ivan Semedi, 87, Ukrainian Roman Catholic prelate, bishop of Mukacheve.","Ivan Semedi, 87, römisch-katholischer Prälat der Ukraine, Bischof von Mukacheve."
5944,Sudha puts some flowers in the feet of Chandar bound in her dupatta.,Sudha legt Blumen in die Füße von Chandar gebunden in ihre Dupatta.
1886,Magnus sneaks into the secret room and there steals the Grail and the medallion.,Magnus schleicht sich in den geheimen Raum und stiehlt dort den Gral und das Medaillon.
320,### Bertrand de Forcade married in 1747 with a Mademoiselle Pénicaut.,# # Bertrand de Forcade heiratete 1747 mit einer Mademoiselle Pénicaut.
661,The former peaked at number seven on the Bubbling Under Hot 100 chart.,Erstere erreichte Platz sieben auf dem Bubbling Under Hot 100 Chart.
52,Nadal withdrew from the American swing owing to a wrist injury.,Nadal zog sich aufgrund einer Handgelenkverletzung von der amerikanischen Schaukel zurück.
5727,Male chimps practice infanticide on unrelated young to shorten the interbirth intervals in the females.,"Männliche Schimpansen üben Kindermord an nicht verwandten Jungen, um die Intergeburtenintervalle bei den Weibchen zu verkürzen."
5087,"On July 30, Montgomery and the 17th Foot stormed and captured the fort.",Am 30. Juli stürmten Montgomery und der 17. Fuß und eroberten die Festung.
2665,The doge already possessed the titles of Duke of Dalmatia and Duke of Istria.,Der Doge besaß bereits die Titel Herzog von Dalmatien und Herzog von Istrien.
2948,"Dorival testified that she attempted to recruit Zimmerman as a ""Citizen on Patrol"", but that he refused.","Dorival bezeugte, dass sie Zimmerman als ""Citizen on Patrol"" rekrutieren wollte, dass er sich aber weigerte."
5403,"David Denby of The New Yorker criticized the way the Coens ""disposed of"" Llewelyn Moss.","David Denby von The New Yorker kritisierte die Art und Weise, wie die Coens Llewelyn Moss ""entsorgten""."
2124,"To the aristocracy, this rebellion represented a protest against and a reversal of their political demotion from vassals to courtiers.",Für die Aristokratie stellte diese Rebellion einen Protest gegen und eine Umkehr ihres politischen Abbruchs von Vasallen zu Höflingen dar.
4779,"She often teases her adoptive brother Toha, leaving most of the housework and chores to him, but cares deeply about him.","Oft neckt sie ihren Adoptivbruder Toha, überlässt ihm die meiste Hausarbeit und kümmert sich um ihn, kümmert sich aber tief um ihn."
2637,"However, with a little brainstorming, additional hypotheses may become apparent.",Mit ein wenig Brainstorming können jedoch zusätzliche Hypothesen zutage treten.
6481,"As the 1950s progressed, the reinvigorated Braves became increasingly competitive.",Mit dem Fortschreiten der 1950er Jahre wurden die wiederbelebten Braves immer wettbewerbsfähiger.
2897,Contemporary and later historians like Akropolites denounced this as a sign of Theodore's duplicity and treachery.,Zeitgenössische und spätere Historiker wie Akropoliten prangerten dies als Zeichen von Theodoros Doppelzüngigkeit und Verrat an.
2579,"The soursop, known as durian belanda in Malay and lampun to the Dusun people of Borneo.","Der Soursop, bekannt als Durian Belanda in Malaiisch und Lampun für das Volk von Borneo in Dusun."
3290,"Postmodernism, or, the Cultural Logic of Late Capitalism.",Postmoderne oder Kulturlogik des Spätkapitalismus.
3399,States and territories disestablished in the 1510s,"Staaten und Gebiete, die in den 1510er Jahren aufgelöst wurden"
23,"The local streams and lakes held animals such as freshwater clams, fish, ostracods, and snails.","Die lokalen Bäche und Seen hielten Tiere wie Süßwassermuscheln, Fische, Ostracods und Schnecken."
6376,768 were commissioned as Navy Ensigns and 259 as Marine 2nd Lieutenants.,768 wurden als Marine Ensign und 259 als Marine 2nd Lieutenants in Dienst gestellt.
6374,The renovators used the original slabs as much as possible and discarded a few of them.,Die Renovierungsarbeiten nutzten die Originalplatten so weit wie möglich und verwarfen einige davon.
169,"Grabbing the Cosmic Tuning Tower, the Devastator leaps into space and lands on the Challenger's Mountain, planting the tower on top of it.","Der Devastator greift nach dem Kosmischen Tuning Tower, springt in den Weltraum und landet auf dem Challenger 's Mountain und pflanzt den Turm darüber."
5722,"However, some historians attribute the demise of the knight to the invention of gunpowder, or to the English longbow.",Einige Historiker schreiben den Untergang des Ritters jedoch der Erfindung von Schießpulver oder dem englischen Langbogen zu.
488,"In the series, Hornsby batted .250, with one extra base hit and 4 RBIs.","In der Serie, Hornsby batted .250, mit einem zusätzlichen Base Hit und 4 RBIs."
4654,Democrats defended the circular and blamed the panic on greedy speculators.,Die Demokraten verteidigten das Rundschreiben und gaben den gierigen Spekulanten die Schuld an der Panik.
1292,"Gaiman had partnered with Marvel Comics to form Marvels and Miracles, LLC, which bankrolled the lawsuit.","Gaiman hatte mit Marvel Comics zusammengearbeitet, um Marvels and Miracles, LLC zu gründen, die die Klage in Konkurs genommen haben."
1770,""", to which a clearly startled Britz responds, ""I beg your pardon?",""", auf die ein deutlich erschraenkter Britz antwortet"", bitte ich um Verzeihung?"
3300,"She continued, ""Despite fan backlash, despite falling ratings, there’s Peter.""","Sie fuhr fort: ""Trotz Fan-Backlash, trotz sinkender Bewertungen, es war Peter."""
4904,"The procession starts at the bottom of the Victoria Tower, then up the Norman Porch to the Robing Chamber.","Die Prozession beginnt am unteren Ende des Victoria Tower, dann die normannische Veranda hinauf zur Robing Chamber."
3398,"However, there are additional references to her mildness, clemency, philanthropy and liberality.","Es gibt jedoch zusätzliche Hinweise auf Milde, Milde, Philanthropie und Liberalität."
2090,"Doug Ring—who was only selected in one Test—bowled 542.4 overs, while all rounders Colin McCool and Loxton bowled 399.4 and 361.2 overs respectively.","Doug Ring löste nur in einem Test ermittelt 542.4 overs, während alle rounders Colin McCool und Loxton bowled 399.4 bzw. 361.2 overs."
4435,"Edwards picked up the enthusiastic backing of his runoff rival, J. Bennett Johnston, later a U.S. senator.","Edwards holte die enthusiastische Unterstützung seines Runoff-Rivalen, J. Bennett Johnston, später US-Senator."
6978,Rushworth divorces her and Mr Crawford refuses to marry her.,"Rushworth scheidet sie und Herr Crawford weigert sich, sie zu heiraten."
6904,"Retrospective of Odhise Paskali Odhise Paskali, a famous sculptor from Albania.","Retrospektive von Odhise Paskali Odhise Paskali, einem berühmten Bildhauer aus Albanien."
305,"Allegedly, the obscure word originated from the Hebrew for ""yawns"".","Angeblich stammt das obskure Wort aus dem Hebräischen für ""Gähne""."
6437,Kassner regretted his early admiration of Friedrich Nietzsche.,Kassner bedauerte seine frühe Bewunderung Friedrich Nietzsches.
1494,"Wolf populations in northern Inner Mongolia declined during the 1940s, primarily because of poaching of gazelles, the wolf's main prey.","Die Wolfspopulationen in der nördlichen Inneren Mongolei gingen in den 1940er Jahren zurück, vor allem wegen der Wilderei von Gazellen, der Hauptbeute des Wolfes."
1034,The hurricane then struck Sint Maarten and the British Virgin Islands on September 6 and later crossed Little Inagua in the Bahamas on September 8.,Der Hurrikan traf Sint Maarten und die Britischen Jungferninseln am 6. September und überquerte später Little Inagua auf den Bahamas am 8. September.
